identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Visualizaciones,Alcance,Me gusta,Veces que se ha compartido,Visitas al perfil,Respuestas,Clics en el enlace,Navegación,Toques en stickers,Seguidores
18081428795202474,17841401871496039,360radioco,360 Radio Colombia,,0,02/26/2026 06:54,https://www.instagram.com/stories/360radioco/3841124126841306520,Historia de Instagram,,Total,308,268,0,0,2.0,0,1.0,267,,
18321735523188862,17841401871496039,360radioco,360 Radio Colombia,,0,02/26/2026 06:55,https://www.instagram.com/stories/360radioco/3841124490671976973,Historia de Instagram,,Total,285,254,2,0,,0,,250,,
18079486685459864,17841401871496039,360radioco,360 Radio Colombia,,0,02/26/2026 06:56,https://www.instagram.com/stories/360radioco/3841124875558119408,Historia de Instagram,,Total,264,245,0,0,,0,,241,,
18108718090707083,17841401871496039,360radioco,360 Radio Colombia,,0,02/26/2026 06:57,https://www.instagram.com/stories/360radioco/3841125515315299888,Historia de Instagram,,Total,239,225,0,0,1.0,0,1.0,223,,
18087277781141060,17841401871496039,360radioco,360 Radio Colombia,,0,02/27/2026 09:09,https://www.instagram.com/stories/360radioco/3841916821230731875,Historia de Instagram,,Total,334,275,3,0,3.0,0,2.0,280,,
18070196369553258,17841401871496039,360radioco,360 Radio Colombia,,0,02/27/2026 09:10,https://www.instagram.com/stories/360radioco/3841917349620792192,Historia de Instagram,,Total,288,238,2,0,,0,1.0,254,,
18069583976535538,17841401871496039,360radioco,360 Radio Colombia,,0,02/27/2026 09:12,https://www.instagram.com/stories/360radioco/3841918081702977426,Historia de Instagram,,Total,281,226,1,0,,0,2.0,238,,
18002055026719979,17841401871496039,360radioco,360 Radio Colombia,,0,02/27/2026 09:13,https://www.instagram.com/stories/360radioco/3841918770256729653,Historia de Instagram,,Total,261,217,2,0,1.0,0,,234,,
18427767913189123,17841401871496039,360radioco,360 Radio Colombia,,0,02/27/2026 09:20,https://www.instagram.com/stories/360radioco/3841922104619358118,Historia de Instagram,,Total,231,206,1,0,1.0,0,1.0,215,,
18310280560259556,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 15:47,https://www.instagram.com/stories/360radioco/3844291501384198349,Historia de Instagram,,Total,344,294,1,0,1.0,0,2.0,284,,
17904627732368460,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 15:48,https://www.instagram.com/stories/360radioco/3844291817643050744,Historia de Instagram,,Total,281,224,1,0,1.0,0,1.0,251,,
18046444601721386,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 15:49,https://www.instagram.com/stories/360radioco/3844292401968361030,Historia de Instagram,,Total,250,204,1,0,,0,,226,,
18048338273686443,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 15:50,https://www.instagram.com/stories/360radioco/3844292933764157726,Historia de Instagram,,Total,228,192,1,0,,0,,215,,
18083970248244860,17841401871496039,360radioco,360 Radio Colombia,,52,03/02/2026 15:51,https://www.instagram.com/stories/360radioco/3844294040523533268,Historia de Instagram,,Total,222,183,5,0,2.0,0,1.0,205,,
18089716901132703,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 15:54,https://www.instagram.com/stories/360radioco/3844294546474046173,Historia de Instagram,,Total,211,178,1,0,,0,,199,,
17981638175976314,17841401871496039,360radioco,360 Radio Colombia,,0,03/02/2026 18:43,https://www.instagram.com/stories/360radioco/3844379816699494566,Historia de Instagram,,Total,247,214,2,0,,0,,230,,
18023496605631876,17841401871496039,360radioco,360 Radio Colombia,@tuliorecomienda,0,03/03/2026 13:11,https://www.instagram.com/stories/360radioco/3844937747782353119,Historia de Instagram,,Total,365,298,4,2,10.0,0,5.0,305,,
17998325486910742,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:12,https://www.instagram.com/stories/360radioco/3845089099384803245,Historia de Instagram,,Total,288,243,5,0,2.0,0,1.0,251,,
18054164483469346,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:13,https://www.instagram.com/stories/360radioco/3845089438360044651,Historia de Instagram,,Total,226,205,2,0,,0,,208,,
18084373904352240,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:14,https://www.instagram.com/stories/360radioco/3845089805655247878,Historia de Instagram,,Total,202,184,1,0,,0,,187,,
17985193466791825,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:15,https://www.instagram.com/stories/360radioco/3845090610600880654,Historia de Instagram,,Total,190,170,2,0,1.0,0,,168,,
18386851807156041,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:16,https://www.instagram.com/stories/360radioco/3845090977325689320,Historia de Instagram,,Total,178,167,2,0,,0,,167,,
18107616256695990,17841401871496039,360radioco,360 Radio Colombia,,0,03/03/2026 18:18,https://www.instagram.com/stories/360radioco/3845092162963116416,Historia de Instagram,,Total,171,159,1,0,2.0,0,2.0,161,,
17965714931886573,17841401871496039,360radioco,360 Radio Colombia,,60,03/03/2026 18:20,https://www.instagram.com/stories/360radioco/3845093140982595399,Historia de Instagram,,Total,161,150,3,0,,0,,152,,
18086577539229081,17841401871496039,360radioco,360 Radio Colombia,@andresgaviriacano,0,03/04/2026 04:10,https://www.instagram.com/stories/360radioco/3845390006060196500,Historia de Instagram,,Total,514,425,3,1,3.0,0,,214,4.0,
17958377577063526,17841401871496039,360radioco,360 Radio Colombia,,60,03/05/2026 09:00,https://www.instagram.com/stories/360radioco/3846260939620761274,Historia de Instagram,,Total,261,219,3,0,6.0,0,,225,,
18230521861307930,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:01,https://www.instagram.com/stories/360radioco/3846261124572795741,Historia de Instagram,,Total,184,161,3,0,,0,,178,,
18100267849732072,17841401871496039,360radioco,360 Radio Colombia,,60,03/05/2026 09:03,https://www.instagram.com/stories/360radioco/3846270970189736799,Historia de Instagram,,Total,158,142,2,0,,0,,154,,
17878212366502026,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:44,https://www.instagram.com/stories/360radioco/3846283042445222844,Historia de Instagram,,Total,157,138,2,0,2.0,0,,142,,
17999443151731607,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:45,https://www.instagram.com/stories/360radioco/3846283428463775339,Historia de Instagram,,Total,151,135,2,0,,0,,142,,
18110319622707273,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:46,https://www.instagram.com/stories/360radioco/3846283718835492341,Historia de Instagram,,Total,140,129,2,0,,0,,133,,
17846202879678444,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:46,https://www.instagram.com/stories/360radioco/3846284090316572302,Historia de Instagram,,Total,131,126,2,0,,0,,126,,
18089051933328593,17841401871496039,360radioco,360 Radio Colombia,,0,03/05/2026 09:47,https://www.instagram.com/stories/360radioco/3846284481200545141,Historia de Instagram,,Total,131,124,2,0,,0,,126,,
17878052991496586,17841401871496039,360radioco,360 Radio Colombia,#GustavoPetro,0,02/16/2026 14:40,https://www.instagram.com/stories/360radioco/3834110897208352893,Historia de Instagram,,Total,1043,852,6,0,11.0,3,,862,,
18441784135117924,17841401871496039,360radioco,360 Radio Colombia,,0,02/16/2026 17:56,https://www.instagram.com/stories/360radioco/3834209116323984754,Historia de Instagram,,Total,496,436,5,0,5.0,0,,442,,
18144270913461733,17841401871496039,360radioco,360 Radio Colombia,,0,02/13/2026 17:38,https://www.instagram.com/stories/360radioco/3832025802238164248,Historia de Instagram,,Total,169,159,2,0,2.0,1,1.0,158,,
18097604653746733,17841401871496039,360radioco,360 Radio Colombia,#CarnavalDeBarranquilla,0,02/13/2026 17:35,https://www.instagram.com/stories/360radioco/3832024189729580932,Historia de Instagram,,Total,170,161,2,0,,1,2.0,154,,
18088367759144456,17841401871496039,360radioco,360 Radio Colombia,,0,02/13/2026 17:31,https://www.instagram.com/stories/360radioco/3832022628861327183,Historia de Instagram,,Total,174,165,1,0,,0,,160,,
18153444751434214,17841401871496039,360radioco,360 Radio Colombia,,0,02/13/2026 17:30,https://www.instagram.com/stories/360radioco/3832021743972197238,Historia de Instagram,,Total,197,180,2,0,1.0,1,,183,,
18070223066545783,17841401871496039,360radioco,360 Radio Colombia,#SanValentín,0,02/13/2026 17:28,https://www.instagram.com/stories/360radioco/3832020754577844238,Historia de Instagram,,Total,240,211,1,0,2.0,0,,218,,
18090701723046486,17841401871496039,360radioco,360 Radio Colombia,,0,02/12/2026 19:48,https://www.instagram.com/stories/360radioco/3831366589149531330,Historia de Instagram,,Total,249,194,1,0,2.0,0,1.0,233,,1.0
18119184766592089,17841401871496039,360radioco,360 Radio Colombia,,0,02/12/2026 19:45,https://www.instagram.com/stories/360radioco/3831365234204751996,Historia de Instagram,,Total,253,212,1,0,,1,,221,,
17896913280395157,17841401871496039,360radioco,360 Radio Colombia,,0,02/12/2026 19:43,https://www.instagram.com/stories/360radioco/3831364216389771584,Historia de Instagram,,Total,262,222,1,0,,0,1.0,241,,
18348086479232285,17841401871496039,360radioco,360 Radio Colombia,,0,02/12/2026 19:42,https://www.instagram.com/stories/360radioco/3831363516737952499,Historia de Instagram,,Total,291,242,1,0,1.0,1,,259,,
18063921533307396,17841401871496039,360radioco,360 Radio Colombia,,0,02/12/2026 19:40,https://www.instagram.com/stories/360radioco/3831362478983238891,Historia de Instagram,,Total,359,317,1,0,1.0,0,1.0,312,,
17966872041010319,17841401871496039,360radioco,360 Radio Colombia,,0,02/11/2026 16:12,https://www.instagram.com/stories/360radioco/3830533046852791393,Historia de Instagram,,Total,287,257,1,0,1.0,2,3.0,269,,
17915498115127046,17841401871496039,360radioco,360 Radio Colombia,,0,02/11/2026 16:10,https://www.instagram.com/stories/360radioco/3830532242922175117,Historia de Instagram,,Total,322,282,1,0,,1,,289,,
18134166574504502,17841401871496039,360radioco,360 Radio Colombia,,0,02/11/2026 16:08,https://www.instagram.com/stories/360radioco/3830531009025042309,Historia de Instagram,,Total,330,288,1,0,,1,,303,,
18546179737064264,17841401871496039,360radioco,360 Radio Colombia,,0,02/11/2026 16:05,https://www.instagram.com/stories/360radioco/3830529483808371048,Historia de Instagram,,Total,405,347,2,0,,0,5.0,338,,
18079109039522911,17841401871496039,360radioco,360 Radio Colombia,,0,02/11/2026 07:30,https://www.instagram.com/stories/360radioco/3830270119272907084,Historia de Instagram,,Total,324,279,3,0,1.0,3,,283,,
18313567423254353,17841401871496039,360radioco,360 Radio Colombia,,0,02/10/2026 19:55,https://www.instagram.com/stories/360radioco/3829920781388636794,Historia de Instagram,,Total,344,292,2,0,,1,1.0,313,,
18095297399490798,17841401871496039,360radioco,360 Radio Colombia,,0,02/10/2026 19:36,https://www.instagram.com/stories/360radioco/3829911245621732504,Historia de Instagram,,Total,402,338,3,5,4.0,0,1.0,330,,
18094574585299448,17841401871496039,360radioco,360 Radio Colombia,,0,02/10/2026 10:56,https://www.instagram.com/stories/360radioco/3829649428651808324,Historia de Instagram,,Total,352,307,2,0,,1,1.0,324,,
18422048350143253,17841401871496039,360radioco,360 Radio Colombia,#Millonarios,0,02/10/2026 09:41,https://www.instagram.com/stories/360radioco/3829611734181482158,Historia de Instagram,,Total,398,344,3,0,2.0,0,1.0,374,,1.0
18106271128752002,17841401871496039,360radioco,360 Radio Colombia,,0,02/10/2026 08:28,https://www.instagram.com/stories/360radioco/3829574812922987655,Historia de Instagram,,Total,562,468,0,0,4.0,0,5.0,469,,
18203949577324697,17841401871496039,360radioco,360 Radio Colombia,,0,02/09/2026 07:22,https://www.instagram.com/stories/360radioco/3828816645423278260,Historia de Instagram,,Total,541,440,3,0,2.0,0,1.0,494,,
17941210818107911,17841401871496039,360radioco,360 Radio Colombia,,0,02/09/2026 07:03,https://www.instagram.com/stories/360radioco/3828807128362916830,Historia de Instagram,,Total,590,494,1,2,3.0,0,3.0,509,,
17886223956334061,17841401871496039,360radioco,360 Radio Colombia,,0,02/08/2026 22:13,https://www.instagram.com/stories/360radioco/3828540228382899793,Historia de Instagram,,Total,487,401,0,0,1.0,0,4.0,425,,
18399733222180858,17841401871496039,360radioco,360 Radio Colombia,,0,02/08/2026 22:12,https://www.instagram.com/stories/360radioco/3828539844830601778,Historia de Instagram,,Total,514,419,1,0,2.0,0,2.0,476,,
18115549495556862,17841401871496039,360radioco,360 Radio Colombia,,0,02/08/2026 22:11,https://www.instagram.com/stories/360radioco/3828539493809266299,Historia de Instagram,,Total,603,493,5,0,1.0,0,15.0,510,,
18112071328651421,17841401871496039,360radioco,360 Radio Colombia,,0,02/08/2026 08:41,https://www.instagram.com/stories/360radioco/3828131597812390691,Historia de Instagram,,Total,474,387,2,0,7.0,0,3.0,420,,
18070613288174108,17841401871496039,360radioco,360 Radio Colombia,,0,02/06/2026 15:11,https://www.instagram.com/stories/360radioco/3826878359817597352,Historia de Instagram,,Total,425,354,2,0,,0,,389,,
18084758021465019,17841401871496039,360radioco,360 Radio Colombia,,0,02/06/2026 09:37,https://www.instagram.com/stories/360radioco/3826710539632779813,Historia de Instagram,,Total,305,261,2,0,1.0,0,2.0,276,,
18431886610112691,17841401871496039,360radioco,360 Radio Colombia,,0,02/06/2026 09:23,https://www.instagram.com/stories/360radioco/3826703537024195142,Historia de Instagram,,Total,338,293,2,0,1.0,0,3.0,300,,
18143556511461230,17841401871496039,360radioco,360 Radio Colombia,,0,02/05/2026 10:42,https://www.instagram.com/stories/360radioco/3826018328335249214,Historia de Instagram,,Total,331,281,1,0,3.0,2,5.0,301,,
18067839287633659,17841401871496039,360radioco,360 Radio Colombia,#cr7,0,02/05/2026 07:11,https://www.instagram.com/stories/360radioco/3825912115555650584,Historia de Instagram,,Total,383,327,3,0,1.0,0,,333,,
17979013577804205,17841401871496039,360radioco,360 Radio Colombia,,0,02/04/2026 12:48,https://www.instagram.com/stories/360radioco/3825356925526158576,Historia de Instagram,,Total,411,372,1,0,2.0,0,,368,,
18095053562310049,17841401871496039,360radioco,360 Radio Colombia,,0,02/04/2026 07:13,https://www.instagram.com/stories/360radioco/3825188197274402592,Historia de Instagram,,Total,520,445,2,0,1.0,0,3.0,484,,
18110426284733016,17841401871496039,360radioco,360 Radio Colombia,,0,02/04/2026 06:02,https://www.instagram.com/stories/360radioco/3825152640381010691,Historia de Instagram,,Total,675,561,2,0,3.0,0,14.0,581,,1.0
18101244808896514,17841401871496039,360radioco,360 Radio Colombia,,0,02/03/2026 09:12,https://www.instagram.com/stories/360radioco/3824523340355122675,Historia de Instagram,,Total,931,820,4,0,23.0,0,,837,,2.0
18125199178481092,17841401871496039,360radioco,360 Radio Colombia,,0,01/30/2026 05:10,https://www.instagram.com/stories/360radioco/3821502394635567520,Historia de Instagram,,Total,316,275,4,0,1.0,0,,285,,
18114969253527189,17841401871496039,360radioco,360 Radio Colombia,,0,01/30/2026 02:19,https://www.instagram.com/stories/360radioco/3821416759799250140,Historia de Instagram,,Total,415,353,1,0,1.0,0,,358,,
17913301932277085,17841401871496039,360radioco,360 Radio Colombia,,0,01/27/2026 15:34,https://www.instagram.com/stories/360radioco/3819642203715563239,Historia de Instagram,,Total,414,359,4,0,2.0,0,,376,,
18105036835834565,17841401871496039,360radioco,360 Radio Colombia,,0,01/27/2026 09:05,https://www.instagram.com/stories/360radioco/3819446490327083086,Historia de Instagram,,Total,156,141,3,0,1.0,0,,143,,
